Filename,Title,9,441,Transfer notes,Subdir,Sort,IMDbID,Year,Directors,Actors,Runtime,Priority,Notes,Poster,Genre,Plot,Tagline,Trailer
1776.iso,1776,OK,OK,,,,tt0068156,1972,Peter H. Hunt,William Daniels; Howard Da Silva; Ken Howard; Blythe Danner,141,,,https://m.media-amazon.com/images/M/MV5BNGZhYWMxMDMtODU2Yi00MDVmLWI4ODYtMzgyNjg4NGNjZjM2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,Drama; Family; History; Musical,A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.,,https://www.youtube.com/watch?v=neXdVJNZRg0
1917.iso,1917,OK,OK,,,,tt8579674,2020,Sam Mendes,Dean-Charles Chapman; George MacKay; Daniel Mays; Colin Firth,119,,,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_.jpg,Drama; Thriller; War,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Time is the enemy.,https://youtu.be/YqNYrYUiMfg
2010.iso,2010,OK,OK,non-anamorphic,,,tt0086837,1984,Peter Hyams,Roy Scheider; John Lithgow; Bob Balaban,116,,,https://m.media-amazon.com/images/M/MV5BOTU1NDQwZjQtODc2YS00MTE4LWE5YTctMmYwYmNiYTU2MzRmXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_.jpg,Adventure; Mystery; Sci-Fi; Thriller,"A joint U.S.-Soviet expedition is sent to Jupiter to learn what happened to the Discovery, and H.A.L.",The year we make contact.,https://www.youtube.com/watch?v=8dQH_WNvL3Y&t=16s
2001n4f7.iso,2001: A Space Odyssey,OK,OK,non-anamorphic,,,tt0062622,1968,Stanley Kubrick,Keir Dullea; Gary Lockwood; Douglas Rain; William Sylvester,149,,,https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,Adventure; Sci-Fi,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",,https://youtu.be/3LAi7l3iQuE
A Bugs Life.iso,A Bug's Life,OK,OK,,,,tt0120623,1998,John Lasseter; Andrew Stanton,Kevin Spacey; Dave Foley; Julia Louis-Dreyfus; Hayden Panettiere,95,,,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Animation; Adventure; Comedy; Family,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",,https://www.youtube.com/watch?v=mE35XQFxbeo
A Bugs Life Bonus.iso,A Bug's Life - Special Features,OK,-,,,,,,,,,,,,,,,
Clockwork Orange 4x3mtd Na.iso,A Clockwork Orange,OK,OK,,,,tt0066921,1971,Stanley Kubrick,Malcolm McDowell,136,1,Stanley Kubrick masterpiece about misguided efforts to reform a violent youth.,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg,Crime; Drama; Sci-Fi,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",,https://youtu.be/SPRzm8ibDQ8
AFewGoodMen.iso,A Few Good Men,OK,OK,,,,tt0104257,1992,Rob Reiner,Tom Cruise; Jack Nicholson; Demi Moore; Kevin Bacon,138,,"Slacker military lawyer has to defend two Marines accused of murder by placing the blame where it belongs - on their tough and shrewd CO. Amazing cast, writer, and director. Might be necessary to have Aunt Suzanne on the phone while watching this.",https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_.jpg,Drama; Thriller,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,,https://www.youtube.com/watch?v=cXMNGokxbQA
Wandafishlb.iso,A Fish Called Wanda,OK,OK,non-anamorphic,,,tt0095159,1988,Charles Crichton; John Cleese,John Cleese; Jamie Lee Curtis; Kevin Kline; Michael Palin,108,,,https://m.media-amazon.com/images/M/MV5BNTQ0ODhiNjEtMDFiYi00NmZhLWJkMzQtNTBkOGQwOTliZDAxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Comedy; Crime,"In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot.",,https://www.youtube.com/watch?v=3xxdYfUvi9g
A Hard Days Night.iso,A Hard Day's Night,OK,OK,,,,https://www.imdb.com/title/tt0058182/?ref_=fn_al_tt_1,1964,Richard Lester,John Lennon; Paul McCartney; George Harrison; Ringo Starr,87,,,https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,Comedy; Musical,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",,https://youtu.be/-bzUgekUI6k
